"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
76,1,400,"congruent","most_con",4,0.963444954549162,-2.5,5,-1.32586833029087,0.506,-1.97628458498024,"congruent"
76,1,373,"congruent","most_con",4,0.985095402965998,-2.68096514745308,6,-1.24032843801404,0.4,-2.5,"congruent"
76,1,307,"congruent","most_con",4,1.00674585138283,-3.25732899022801,7,-1.15478854573721,0.373,-2.68096514745308,"congruent"
76,1,353,"congruent","most_con",4,1.02839629979967,-2.8328611898017,8,-1.06924865346038,0.307,-3.25732899022801,"congruent"
76,1,336,"congruent","most_con",4,1.0500467482165,-2.97619047619048,9,-0.983708761183547,0.353,-2.8328611898017,"congruent"
76,1,357,"congruent","most_con",4,1.07169719663334,-2.80112044817927,10,-0.898168868906717,0.336,-2.97619047619048,"congruent"
76,1,355,"congruent","most_con",4,1.09334764505017,-2.8169014084507,11,-0.812628976629887,0.357,-2.80112044817927,"congruent"
76,1,377,"incongruent","most_con",4,1.11499809346701,-2.6525198938992,12,-0.727089084353056,0.355,-2.8169014084507,"incongruent_most_con"
76,1,455,"incongruent","most_con",4,1.13664854188384,-2.1978021978022,13,-0.641549192076226,0.377,-2.6525198938992,"incongruent_most_con"
76,1,308,"congruent","most_con",4,1.15829899030068,-3.24675324675325,14,-0.556009299799396,0.455,-2.1978021978022,"congruent"
76,1,355,"congruent","most_con",4,1.17994943871751,-2.8169014084507,15,-0.470469407522566,0.308,-3.24675324675325,"congruent"
76,1,377,"congruent","most_con",4,1.20159988713435,-2.6525198938992,16,-0.384929515245736,0.355,-2.8169014084507,"congruent"
76,1,343,"congruent","most_con",4,1.22325033555118,-2.91545189504373,17,-0.299389622968906,0.377,-2.6525198938992,"congruent"
76,1,404,"incongruent","most_con",4,1.24490078396802,-2.47524752475248,18,-0.213849730692075,0.343,-2.91545189504373,"incongruent_most_con"
76,1,450,"congruent","most_con",4,1.26655123238485,-2.22222222222222,19,-0.128309838415245,0.404,-2.47524752475248,"congruent"
76,1,400,"incongruent","most_con",4,1.28820168080169,-2.5,20,-0.0427699461384151,0.45,-2.22222222222222,"incongruent_most_con"
76,1,374,"congruent","most_con",4,1.30985212921852,-2.67379679144385,21,0.0427699461384151,0.4,-2.5,"congruent"
76,1,380,"congruent","most_con",4,1.33150257763536,-2.63157894736842,22,0.128309838415245,0.374,-2.67379679144385,"congruent"
76,1,394,"congruent","most_con",4,1.35315302605219,-2.53807106598985,23,0.213849730692075,0.38,-2.63157894736842,"congruent"
76,1,400,"incongruent","most_con",4,1.37480347446903,-2.5,24,0.299389622968906,0.394,-2.53807106598985,"incongruent_most_con"
76,1,406,"congruent","most_con",4,1.39645392288586,-2.46305418719212,25,0.384929515245736,0.4,-2.5,"congruent"
76,1,467,"congruent","most_con",4,1.4181043713027,-2.14132762312634,26,0.470469407522566,0.406,-2.46305418719212,"congruent"
76,1,337,"congruent","most_con",4,1.43975481971953,-2.9673590504451,27,0.556009299799396,0.467,-2.14132762312634,"congruent"
76,1,384,"incongruent","most_con",4,1.46140526813637,-2.60416666666667,28,0.641549192076226,0.337,-2.9673590504451,"incongruent_most_con"
76,1,302,"incongruent","most_con",4,1.48305571655321,-3.3112582781457,29,0.727089084353056,0.384,-2.60416666666667,"incongruent_most_con"
76,1,371,"incongruent","most_con",4,1.50470616497004,-2.69541778975741,30,0.812628976629887,0.302,-3.3112582781457,"incongruent_most_con"
76,1,345,"congruent","most_con",4,1.52635661338688,-2.89855072463768,31,0.898168868906717,0.371,-2.69541778975741,"congruent"
76,1,343,"congruent","most_con",4,1.54800706180371,-2.91545189504373,32,0.983708761183547,0.345,-2.89855072463768,"congruent"
76,1,349,"congruent","most_con",4,1.56965751022055,-2.86532951289398,33,1.06924865346038,0.343,-2.91545189504373,"congruent"
76,1,395,"incongruent","most_con",4,1.59130795863738,-2.53164556962025,34,1.15478854573721,0.349,-2.86532951289398,"incongruent_most_con"
76,1,337,"congruent","most_con",4,1.61295840705422,-2.9673590504451,35,1.24032843801404,0.395,-2.53164556962025,"congruent"
76,1,415,"congruent","most_con",4,1.63460885547105,-2.40963855421687,36,1.32586833029087,0.337,-2.9673590504451,"congruent"
76,1,389,"congruent","most_con",4,1.65625930388789,-2.5706940874036,37,1.4114082225677,0.415,-2.40963855421687,"congruent"
76,1,546,"incongruent","most_con",4,1.67790975230472,-1.83150183150183,38,1.49694811484453,0.389,-2.5706940874036,"incongruent_most_con"
76,1,368,"congruent","most_con",4,1.69956020072156,-2.71739130434783,39,1.58248800712136,0.546,-1.83150183150183,"congruent"
76,1,375,"congruent","most_con",4,1.72121064913839,-2.66666666666667,40,1.66802789939819,0.368,-2.71739130434783,"congruent"
77,1,404,"congruent","most_con",1,-1.72121064913839,-2.47524752475248,1,-1.66802789939819,NA,NA,"congruent"
77,1,394,"congruent","most_con",1,-1.69956020072156,-2.53807106598985,2,-1.58248800712136,0.404,-2.47524752475248,"congruent"
77,1,392,"incongruent","most_con",1,-1.67790975230472,-2.55102040816327,3,-1.49694811484453,0.394,-2.53807106598985,"incongruent_most_con"
77,1,342,"congruent","most_con",1,-1.65625930388789,-2.92397660818713,4,-1.4114082225677,0.392,-2.55102040816327,"congruent"
77,1,364,"incongruent","most_con",1,-1.63460885547105,-2.74725274725275,5,-1.32586833029087,0.342,-2.92397660818713,"incongruent_most_con"
77,1,377,"congruent","most_con",1,-1.61295840705422,-2.6525198938992,6,-1.24032843801404,0.364,-2.74725274725275,"congruent"
77,1,343,"congruent","most_con",1,-1.59130795863738,-2.91545189504373,7,-1.15478854573721,0.377,-2.6525198938992,"congruent"
77,1,326,"congruent","most_con",1,-1.56965751022055,-3.06748466257669,8,-1.06924865346038,0.343,-2.91545189504373,"congruent"
77,1,420,"incongruent","most_con",1,-1.54800706180371,-2.38095238095238,9,-0.983708761183547,0.326,-3.06748466257669,"incongruent_most_con"
77,1,425,"congruent","most_con",1,-1.52635661338688,-2.35294117647059,10,-0.898168868906717,0.42,-2.38095238095238,"congruent"
77,1,445,"incongruent","most_con",1,-1.50470616497004,-2.24719101123596,11,-0.812628976629887,0.425,-2.35294117647059,"incongruent_most_con"
77,1,397,"incongruent","most_con",1,-1.48305571655321,-2.51889168765743,12,-0.727089084353056,0.445,-2.24719101123596,"incongruent_most_con"
77,0,299,"congruent","most_con",1,-1.46140526813637,-3.34448160535117,13,-0.641549192076226,0.397,-2.51889168765743,"congruent"
77,1,441,"congruent","most_con",1,-1.43975481971953,-2.26757369614512,14,-0.556009299799396,0.299,-3.34448160535117,"congruent"
77,1,359,"congruent","most_con",1,-1.4181043713027,-2.78551532033426,15,-0.470469407522566,0.441,-2.26757369614512,"congruent"
77,1,517,"congruent","most_con",1,-1.39645392288586,-1.93423597678917,16,-0.384929515245736,0.359,-2.78551532033426,"congruent"
77,1,411,"congruent","most_con",1,-1.37480347446903,-2.4330900243309,17,-0.299389622968906,0.517,-1.93423597678917,"congruent"
77,1,328,"congruent","most_con",1,-1.35315302605219,-3.04878048780488,18,-0.213849730692075,0.411,-2.4330900243309,"congruent"
77,1,398,"congruent","most_con",1,-1.33150257763536,-2.51256281407035,19,-0.128309838415245,0.328,-3.04878048780488,"congruent"
77,1,316,"congruent","most_con",1,-1.30985212921852,-3.16455696202532,20,-0.0427699461384151,0.398,-2.51256281407035,"congruent"
77,1,315,"congruent","most_con",1,-1.28820168080169,-3.17460317460317,21,0.0427699461384151,0.316,-3.16455696202532,"congruent"
77,1,336,"incongruent","most_con",1,-1.26655123238485,-2.97619047619048,22,0.128309838415245,0.315,-3.17460317460317,"incongruent_most_con"
77,1,422,"incongruent","most_con",1,-1.24490078396802,-2.3696682464455,23,0.213849730692075,0.336,-2.97619047619048,"incongruent_most_con"
77,1,436,"congruent","most_con",1,-1.22325033555118,-2.29357798165138,24,0.299389622968906,0.422,-2.3696682464455,"congruent"
77,1,362,"congruent","most_con",1,-1.20159988713435,-2.76243093922652,25,0.384929515245736,0.436,-2.29357798165138,"congruent"
77,1,495,"incongruent","most_con",1,-1.17994943871751,-2.02020202020202,26,0.470469407522566,0.362,-2.76243093922652,"incongruent_most_con"
77,1,326,"congruent","most_con",1,-1.15829899030068,-3.06748466257669,27,0.556009299799396,0.495,-2.02020202020202,"congruent"
77,1,340,"congruent","most_con",1,-1.13664854188384,-2.94117647058824,28,0.641549192076226,0.326,-3.06748466257669,"congruent"
77,1,338,"congruent","most_con",1,-1.11499809346701,-2.9585798816568,29,0.727089084353056,0.34,-2.94117647058824,"congruent"
77,1,343,"incongruent","most_con",1,-1.09334764505017,-2.91545189504373,30,0.812628976629887,0.338,-2.9585798816568,"incongruent_most_con"
