"subj_idx","response","rt","stim","cond","trial_z","trial","rt_log_trim_grp","prev_rt"
86,1,0.456,"positive","no_conflict",0.357362639234211,44,2.65896484266443,0.641
86,1,0.641,"positive","no_conflict",0.405469148361894,45,2.80685802951882,0.456
86,1,0.946,"negative_rc","conflict",0.453575657489576,46,2.97589113640179,0.641
86,1,0.593,"positive","no_conflict",0.501682166617258,47,2.77305469336426,0.946
86,1,0.834,"negative_familiar","conflict",0.54978867574494,48,2.92116605063774,0.593
86,1,0.556,"negative_unfamiliar","no_conflict",0.597895184872623,49,2.74507479158206,0.834
86,1,0.668,"positive","no_conflict",0.646001694000305,50,2.82477646247555,0.556
86,1,0.533,"positive","no_conflict",0.694108203127987,51,2.72672720902657,0.668
86,1,0.661,"negative_highly_familiar","conflict",0.74221471225567,52,2.82020145948564,0.533
86,1,0.645,"negative_familiar","conflict",0.790321221383352,53,2.80955971463527,0.661
86,1,0.614,"positive","no_conflict",0.838427730511034,54,2.78816837114117,0.645
86,0,0.51,"positive","no_conflict",0.886534239638716,55,2.70757017609794,0.614
86,1,0.583,"negative_rc","conflict",0.934640748766399,56,2.76566855475901,0.51
86,1,0.727,"positive","no_conflict",0.982747257894081,57,2.86153441085904,0.583
86,1,0.655,"negative_rc","conflict",1.03085376702176,58,2.81624129999178,0.727
86,1,0.664,"positive","no_conflict",1.07896027614945,59,2.82216807936802,0.655
86,1,0.625,"negative_highly_familiar","conflict",1.12706678527713,60,2.79588001734408,0.664
86,1,0.816,"positive","no_conflict",1.17517329440481,61,2.91169015875386,0.625
86,0,0.841,"negative_highly_familiar","conflict",1.22327980353249,62,2.92479599579791,0.816
86,1,0.682,"negative_familiar","conflict",1.27138631266017,63,2.83378437465648,0.841
86,1,0.562,"positive","no_conflict",1.31949282178786,64,2.74973631556906,0.682
86,1,0.61,"negative_unfamiliar","no_conflict",1.36759933091554,65,2.78532983501077,0.562
86,1,0.619,"positive","no_conflict",1.41570584004322,66,2.79169064902012,0.61
86,1,0.691,"negative_rc","conflict",1.4638123491709,67,2.8394780473742,0.619
86,1,0.667,"positive","no_conflict",1.51191885829859,68,2.82412583391655,0.691
86,0,1.067,"positive","no_conflict",1.56002536742627,69,3.02816441942447,0.667
86,1,0.572,"negative_familiar","conflict",1.60813187655395,70,2.75739602879302,1.067
86,1,0.653,"negative_unfamiliar","no_conflict",1.65623838568163,71,2.81491318127507,0.572
86,1,0.629,"positive","no_conflict",1.70434489480932,72,2.79865064544527,0.653
87,NA,NA,"negative_unfamiliar","no_conflict",-1.71121725325613,1,NA,0.629
87,1,0.724,"positive","no_conflict",-1.66311074412844,2,2.85973856619715,0.291
87,0,0.883,"negative_rc","conflict",-1.61500423500076,3,2.94596070357757,0.724
87,1,0.684,"positive","no_conflict",-1.56689772587308,4,2.83505610172012,0.883
87,1,0.501,"negative_highly_familiar","conflict",-1.5187912167454,5,2.69983772586725,0.684
87,0,0.637,"positive","no_conflict",-1.47068470761772,6,2.80413943233535,0.501
87,1,0.365,"negative_familiar","conflict",-1.42257819849003,7,2.56229286445647,0.637
87,1,0.694,"positive","no_conflict",-1.37447168936235,8,2.84135947045485,0.365
87,1,0.559,"positive","no_conflict",-1.32636518023467,9,2.74741180788642,0.694
87,0,0.366,"negative_rc","conflict",-1.27825867110699,10,2.56348108539441,0.559
87,1,0.543,"negative_familiar","conflict",-1.2301521619793,11,2.73479982958885,0.366
87,1,0.935,"positive","no_conflict",-1.18204565285162,12,2.97081161087252,0.543
87,1,0.808,"positive","no_conflict",-1.13393914372394,13,2.90741136077459,0.935
87,1,0.776,"negative_rc","conflict",-1.08583263459626,14,2.88986172125819,0.808
87,0,0.361,"negative_highly_familiar","conflict",-1.03772612546857,15,2.55750720190566,0.776
87,1,0.673,"positive","no_conflict",-0.989619616340893,16,2.82801506422398,0.361
87,0,0.873,"positive","no_conflict",-0.94151310721321,17,2.94101424370557,0.673
87,1,0.721,"negative_unfamiliar","no_conflict",-0.893406598085528,18,2.85793526471943,0.873
87,1,0.722,"positive","no_conflict",-0.845300088957846,19,2.85853719756964,0.721
87,1,1.307,"negative_highly_familiar","conflict",-0.797193579830163,20,3.11627558758054,0.722
87,1,0.754,"positive","no_conflict",-0.749087070702481,21,2.87737134586977,1.307
87,0,0.819,"negative_familiar","conflict",-0.700980561574799,22,2.91328390176042,0.754
87,1,0.756,"negative_unfamiliar","no_conflict",-0.652874052447117,23,2.87852179550121,0.819
87,0,0.436,"positive","no_conflict",-0.604767543319434,24,2.63948648926859,0.756
87,1,0.732,"negative_highly_familiar","conflict",-0.556661034191752,25,2.86451108105839,0.436
87,1,1.085,"positive","no_conflict",-0.50855452506407,26,3.03542973818455,0.732
87,0,0.846,"negative_familiar","conflict",-0.460448015936387,27,2.92737036303902,1.085
87,0,0.581,"positive","no_conflict",-0.412341506808705,28,2.76417613239033,0.846
87,1,0.782,"positive","no_conflict",-0.364234997681023,29,2.89320675305985,0.581
87,1,0.862,"negative_rc","conflict",-0.316128488553341,30,2.93550726582471,0.782
87,1,0.655,"positive","no_conflict",-0.268021979425658,31,2.81624129999178,0.862
87,0,0.719,"negative_highly_familiar","conflict",-0.219915470297976,32,2.85672889038288,0.655
87,1,0.776,"positive","no_conflict",-0.171808961170294,33,2.88986172125819,0.719
87,1,0.808,"negative_unfamiliar","no_conflict",-0.123702452042611,34,2.90741136077459,0.776
87,1,0.673,"positive","no_conflict",-0.0755959429149292,35,2.82801506422398,0.808
87,1,0.832,"negative_unfamiliar","no_conflict",-0.0274894337872469,36,2.92012332629072,0.673
87,0,0.905,"positive","no_conflict",0.0206170753404354,37,2.9566485792052,0.832
87,1,0.738,"negative_rc","conflict",0.0687235844681176,38,2.86805636182304,0.905
87,1,0.586,"negative_highly_familiar","conflict",0.1168300935958,39,2.76789761601809,0.738
87,0,0.73,"positive","no_conflict",0.164936602723482,40,2.86332286012046,0.586
87,0,0.659,"positive","no_conflict",0.213043111851164,41,2.81888541459401,0.73
87,0,0.939,"negative_familiar","conflict",0.261149620978847,42,2.97266559226611,0.659
87,1,0.716,"negative_unfamiliar","no_conflict",0.309256130106529,43,2.85491302230786,0.939
87,0,0.716,"positive","no_conflict",0.357362639234211,44,2.85491302230786,0.716
87,1,0.804,"positive","no_conflict",0.405469148361894,45,2.90525604874845,0.716
87,0,0.589,"negative_rc","conflict",0.453575657489576,46,2.7701152947871,0.804
87,1,0.597,"positive","no_conflict",0.501682166617258,47,2.77597433112937,0.589
87,1,0.765,"negative_familiar","conflict",0.54978867574494,48,2.88366143515362,0.597
87,1,0.728,"negative_unfamiliar","no_conflict",0.597895184872623,49,2.86213137931304,0.765
87,1,0.361,"positive","no_conflict",0.646001694000305,50,2.55750720190566,0.728
87,1,0.72,"positive","no_conflict",0.694108203127987,51,2.85733249643127,0.361
87,1,0.601,"negative_highly_familiar","conflict",0.74221471225567,52,2.77887447200274,0.72
87,1,0.618,"negative_familiar","conflict",0.790321221383352,53,2.79098847508882,0.601
87,NA,NA,"positive","no_conflict",0.838427730511034,54,NA,0.618
87,0,0.706,"positive","no_conflict",0.886534239638716,55,2.8488047010518,0.322
87,1,0.97,"negative_rc","conflict",0.934640748766399,56,2.98677173426624,0.706
87,1,0.899,"positive","no_conflict",0.982747257894081,57,2.95375969173323,0.97
87,0,0.748,"negative_rc","conflict",1.03085376702176,58,2.87390159786446,0.899
87,1,0.683,"positive","no_conflict",1.07896027614945,59,2.83442070368153,0.748
87,0,0.492,"negative_highly_familiar","conflict",1.12706678527713,60,2.69196510276736,0.683
87,0,0.645,"positive","no_conflict",1.17517329440481,61,2.80955971463527,0.492
87,1,0.932,"negative_highly_familiar","conflict",1.22327980353249,62,2.96941591235398,0.645
87,0,0.557,"negative_familiar","conflict",1.27138631266017,63,2.74585519517373,0.932
87,1,0.47,"positive","no_conflict",1.31949282178786,64,2.67209785793572,0.557
87,1,0.773,"negative_unfamiliar","no_conflict",1.36759933091554,65,2.88817949391832,0.47
87,1,0.566,"positive","no_conflict",1.41570584004322,66,2.75281643118827,0.773
87,NA,NA,"negative_rc","conflict",1.4638123491709,67,NA,0.566
87,NA,NA,"positive","no_conflict",1.51191885829859,68,NA,0.319
87,1,0.48,"positive","no_conflict",1.56002536742627,69,2.68124123737559,0.319
87,1,0.64,"negative_familiar","conflict",1.60813187655395,70,2.80617997398389,0.48
87,1,0.759,"negative_unfamiliar","no_conflict",1.65623838568163,71,2.88024177589548,0.64
87,0,0.745,"positive","no_conflict",1.70434489480932,72,2.87215627274829,0.759
88,1,0.421,"negative_unfamiliar","no_conflict",-1.71121725325613,1,2.62428209583567,0.745
88,1,0.614,"positive","no_conflict",-1.66311074412844,2,2.78816837114117,0.421
88,1,0.494,"negative_rc","conflict",-1.61500423500076,3,2.69372694892365,0.614
88,1,0.446,"positive","no_conflict",-1.56689772587308,4,2.64933485871214,0.494
88,1,0.495,"negative_highly_familiar","conflict",-1.5187912167454,5,2.69460519893357,0.446
88,1,0.591,"positive","no_conflict",-1.47068470761772,6,2.77158748088126,0.495
88,1,0.519,"negative_familiar","conflict",-1.42257819849003,7,2.71516735784846,0.591
88,1,0.552,"positive","no_conflict",-1.37447168936235,8,2.7419390777292,0.519
88,1,0.432,"positive","no_conflict",-1.32636518023467,9,2.63548374681491,0.552
88,1,0.641,"negative_rc","conflict",-1.27825867110699,10,2.80685802951882,0.432
88,1,0.913,"negative_familiar","conflict",-1.2301521619793,11,2.9604707775343,0.641
88,1,0.537,"positive","no_conflict",-1.18204565285162,12,2.72997428569956,0.913
88,1,0.546,"positive","no_conflict",-1.13393914372394,13,2.73719264270474,0.537
88,1,0.667,"negative_rc","conflict",-1.08583263459626,14,2.82412583391655,0.546
88,1,0.41,"negative_highly_familiar","conflict",-1.03772612546857,15,2.61278385671974,0.667
88,1,0.563,"positive","no_conflict",-0.989619616340893,16,2.75050839485135,0.41
88,1,0.468,"positive","no_conflict",-0.94151310721321,17,2.67024585307412,0.563
88,1,0.508,"negative_unfamiliar","no_conflict",-0.893406598085528,18,2.70586371228392,0.468
88,1,0.396,"positive","no_conflict",-0.845300088957846,19,2.59769518592551,0.508
88,1,0.589,"negative_highly_familiar","conflict",-0.797193579830163,20,2.7701152947871,0.396
88,0,0.501,"positive","no_conflict",-0.749087070702481,21,2.69983772586725,0.589
88,1,0.637,"negative_familiar","conflict",-0.700980561574799,22,2.80413943233535,0.501
88,1,0.637,"negative_unfamiliar","no_conflict",-0.652874052447117,23,2.80413943233535,0.637
88,1,0.438,"positive","no_conflict",-0.604767543319434,24,2.6414741105041,0.637
88,1,0.879,"negative_highly_familiar","conflict",-0.556661034191752,25,2.94398887507377,0.438
88,1,0.518,"positive","no_conflict",-0.50855452506407,26,2.71432975974523,0.879
88,1,0.927,"negative_familiar","conflict",-0.460448015936387,27,2.9670797341445,0.518
88,1,0.592,"positive","no_conflict",-0.412341506808705,28,2.77232170672292,0.927
88,1,0.672,"positive","no_conflict",-0.364234997681023,29,2.82736927305383,0.592
88,1,0.672,"negative_rc","conflict",-0.316128488553341,30,2.82736927305383,0.672
88,1,0.481,"positive","no_conflict",-0.268021979425658,31,2.68214507637383,0.672
88,1,0.49,"negative_highly_familiar","conflict",-0.219915470297976,32,2.69019608002851,0.481
88,1,0.441,"positive","no_conflict",-0.171808961170294,33,2.64443858946784,0.49
88,1,0.482,"negative_unfamiliar","no_conflict",-0.123702452042611,34,2.68304703823885,0.441
88,1,0.418,"positive","no_conflict",-0.0755959429149292,35,2.62117628177504,0.482
88,1,0.491,"negative_unfamiliar","no_conflict",-0.0274894337872469,36,2.69108149212297,0.418
88,1,0.363,"positive","no_conflict",0.0206170753404354,37,2.55990662503611,0.491
88,0,0.483,"negative_rc","conflict",0.0687235844681176,38,2.68394713075151,0.363
88,1,0.644,"negative_highly_familiar","conflict",0.1168300935958,39,2.80888586735981,0.483
88,1,1.389,"positive","no_conflict",0.164936602723482,40,3.14270224573762,0.644
88,1,0.452,"positive","no_conflict",0.213043111851164,41,2.65513843481138,1.389
88,1,0.557,"negative_familiar","conflict",0.261149620978847,42,2.74585519517373,0.452
88,1,0.454,"negative_unfamiliar","no_conflict",0.309256130106529,43,2.6570558528571,0.557
88,1,0.51,"positive","no_conflict",0.357362639234211,44,2.70757017609794,0.454
88,1,0.534,"positive","no_conflict",0.405469148361894,45,2.72754125702856,0.51
88,0,0.479,"negative_rc","conflict",0.453575657489576,46,2.68033551341456,0.534
88,0,0.479,"positive","no_conflict",0.501682166617258,47,2.68033551341456,0.479
88,1,0.511,"negative_familiar","conflict",0.54978867574494,48,2.70842090013471,0.479
88,1,0.545,"negative_unfamiliar","no_conflict",0.597895184872623,49,2.73639650227664,0.511
88,1,0.554,"positive","no_conflict",0.646001694000305,50,2.74350976472843,0.545
88,1,0.922,"positive","no_conflict",0.694108203127987,51,2.96473092105363,0.554
88,1,0.506,"negative_highly_familiar","conflict",0.74221471225567,52,2.7041505168398,0.922
88,1,0.451,"negative_familiar","conflict",0.790321221383352,53,2.65417654187796,0.506
88,1,0.628,"positive","no_conflict",0.838427730511034,54,2.7979596437372,0.451
88,0,0.603,"positive","no_conflict",0.886534239638716,55,2.78031731214015,0.628
88,1,0.876,"negative_rc","conflict",0.934640748766399,56,2.94250410616808,0.603
88,1,0.613,"positive","no_conflict",0.982747257894081,57,2.78746047451842,0.876
88,1,0.533,"negative_rc","conflict",1.03085376702176,58,2.72672720902657,0.613
88,1,0.557,"positive","no_conflict",1.07896027614945,59,2.74585519517373,0.533
88,1,0.55,"negative_highly_familiar","conflict",1.12706678527713,60,2.74036268949424,0.557
88,1,0.382,"positive","no_conflict",1.17517329440481,61,2.58206336291171,0.55
88,1,0.823,"negative_highly_familiar","conflict",1.22327980353249,62,2.91539983521227,0.382
88,1,1.006,"negative_familiar","conflict",1.27138631266017,63,3.00259798071991,0.823
88,1,0.575,"positive","no_conflict",1.31949282178786,64,2.75966784468963,1.006
88,1,0.864,"negative_unfamiliar","no_conflict",1.36759933091554,65,2.93651374247889,0.575
88,1,0.464,"positive","no_conflict",1.41570584004322,66,2.66651798055488,0.864
88,1,0.496,"negative_rc","conflict",1.4638123491709,67,2.6954816764902,0.464
88,1,0.593,"positive","no_conflict",1.51191885829859,68,2.77305469336426,0.496
88,1,0.482,"positive","no_conflict",1.56002536742627,69,2.68304703823885,0.593
88,1,0.929,"negative_familiar","conflict",1.60813187655395,70,2.96801571399364,0.482
88,1,0.65,"negative_unfamiliar","no_conflict",1.65623838568163,71,2.81291335664286,0.929
88,1,0.97,"positive","no_conflict",1.70434489480932,72,2.98677173426624,0.65
89,1,0.879,"negative_unfamiliar","no_conflict",-1.71121725325613,1,2.94398887507377,0.97
89,1,0.904,"positive","no_conflict",-1.66311074412844,2,2.95616843047536,0.879
89,1,0.673,"negative_rc","conflict",-1.61500423500076,3,2.82801506422398,0.904
89,1,1.121,"positive","no_conflict",-1.56689772587308,4,3.04960561259497,0.673
89,1,0.977,"negative_highly_familiar","conflict",-1.5187912167454,5,2.98989456371877,1.121
89,1,1.137,"positive","no_conflict",-1.47068470761772,6,3.05576046468773,0.977
89,1,0.786,"negative_familiar","conflict",-1.42257819849003,7,2.89542254603941,1.137
89,1,1.203,"positive","no_conflict",-1.37447168936235,8,3.08026562733984,0.786
89,1,NA,"positive","no_conflict",-1.32636518023467,9,NA,1.203
89,1,0.843,"negative_rc","conflict",-1.27825867110699,10,2.92582757462474,1.898
89,1,0.692,"negative_familiar","conflict",-1.2301521619793,11,2.84010609445676,0.843
89,1,1.131,"positive","no_conflict",-1.18204565285162,12,3.05346260492546,0.692
89,1,0.932,"positive","no_conflict",-1.13393914372394,13,2.96941591235398,1.131
89,1,0.901,"negative_rc","conflict",-1.08583263459626,14,2.95472479097906,0.932
89,1,1.469,"negative_highly_familiar","conflict",-1.03772612546857,15,3.16702179579026,0.901
89,1,1.213,"positive","no_conflict",-0.989619616340893,16,3.08386080086657,1.469
89,1,0.67,"positive","no_conflict",-0.94151310721321,17,2.82607480270083,1.213
89,1,1.238,"negative_unfamiliar","no_conflict",-0.893406598085528,18,3.0927206446841,0.67
89,1,0.711,"positive","no_conflict",-0.845300088957846,19,2.85186960072977,1.238
89,1,1.111,"negative_highly_familiar","conflict",-0.797193579830163,20,3.04571405894087,0.711
89,1,1.167,"positive","no_conflict",-0.749087070702481,21,3.06707085604537,1.111
89,0,1.048,"negative_familiar","conflict",-0.700980561574799,22,3.02036128264771,1.167
89,1,0.817,"negative_unfamiliar","no_conflict",-0.652874052447117,23,2.91222205653242,1.048
89,1,1.136,"positive","no_conflict",-0.604767543319434,24,3.055378331375,0.817
89,1,0.721,"negative_highly_familiar","conflict",-0.556661034191752,25,2.85793526471943,1.136
89,1,0.826,"positive","no_conflict",-0.50855452506407,26,2.91698004732038,0.721
89,1,1.169,"negative_familiar","conflict",-0.460448015936387,27,3.06781451116184,0.826
89,1,1.01,"positive","no_conflict",-0.412341506808705,28,3.00432137378264,1.169
89,1,0.771,"positive","no_conflict",-0.364234997681023,29,2.88705437805096,1.01
89,1,1.035,"negative_rc","conflict",-0.316128488553341,30,3.01494034979294,0.771
89,1,0.963,"positive","no_conflict",-0.268021979425658,31,2.98362628712453,1.035
89,1,1.108,"negative_highly_familiar","conflict",-0.219915470297976,32,3.04453976039241,0.963
89,1,0.644,"positive","no_conflict",-0.171808961170294,33,2.80888586735981,1.108
89,1,1.021,"negative_unfamiliar","no_conflict",-0.123702452042611,34,3.00902574208691,0.644
89,1,0.885,"positive","no_conflict",-0.0755959429149292,35,2.94694327069783,1.021
89,1,1.405,"negative_unfamiliar","no_conflict",-0.0274894337872469,36,3.1476763242411,0.885
89,1,0.582,"positive","no_conflict",0.0206170753404354,37,2.76492298464989,1.405
89,1,1.038,"negative_rc","conflict",0.0687235844681176,38,3.01619735351244,0.582
