"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
16,1,376,"congruent","most_con",1,-1.52635661338688,10,-2.65957446808511,10,-0.898168868906717,0.435,-2.29885057471264,"congruent"
16,1,398,"congruent","most_con",1,-1.50470616497004,11,-2.51256281407035,11,-0.812628976629887,0.376,-2.65957446808511,"congruent"
16,1,596,"congruent","most_con",1,-1.48305571655321,12,-1.67785234899329,12,-0.727089084353056,0.398,-2.51256281407035,"congruent"
16,1,418,"congruent","most_con",1,-1.46140526813637,13,-2.39234449760766,13,-0.641549192076226,0.596,-1.67785234899329,"congruent"
16,1,440,"congruent","most_con",1,-1.43975481971953,14,-2.27272727272727,14,-0.556009299799396,0.418,-2.39234449760766,"congruent"
16,1,405,"congruent","most_con",1,-1.4181043713027,15,-2.46913580246914,15,-0.470469407522566,0.44,-2.27272727272727,"congruent"
16,1,418,"congruent","most_con",1,-1.39645392288586,16,-2.39234449760766,16,-0.384929515245736,0.405,-2.46913580246914,"congruent"
16,1,512,"incongruent","most_con",1,-1.37480347446903,17,-1.953125,17,-0.299389622968906,0.418,-2.39234449760766,"incongruent_most_con"
16,1,398,"congruent","most_con",1,-1.35315302605219,18,-2.51256281407035,18,-0.213849730692075,0.512,-1.953125,"congruent"
16,1,428,"congruent","most_con",1,-1.33150257763536,19,-2.33644859813084,19,-0.128309838415245,0.398,-2.51256281407035,"congruent"
16,1,330,"incongruent","most_con",1,-1.30985212921852,20,-3.03030303030303,20,-0.0427699461384151,0.428,-2.33644859813084,"incongruent_most_con"
16,1,399,"incongruent","most_con",1,-1.28820168080169,21,-2.5062656641604,21,0.0427699461384151,0.33,-3.03030303030303,"incongruent_most_con"
16,1,445,"congruent","most_con",1,-1.26655123238485,22,-2.24719101123596,22,0.128309838415245,0.399,-2.5062656641604,"congruent"
16,1,442,"congruent","most_con",1,-1.24490078396802,23,-2.26244343891403,23,0.213849730692075,0.445,-2.24719101123596,"congruent"
16,1,408,"incongruent","most_con",1,-1.22325033555118,24,-2.45098039215686,24,0.299389622968906,0.442,-2.26244343891403,"incongruent_most_con"
16,1,390,"incongruent","most_con",1,-1.20159988713435,25,-2.56410256410256,25,0.384929515245736,0.408,-2.45098039215686,"incongruent_most_con"
16,1,371,"congruent","most_con",1,-1.17994943871751,26,-2.69541778975741,26,0.470469407522566,0.39,-2.56410256410256,"congruent"
16,1,313,"congruent","most_con",1,-1.15829899030068,27,-3.19488817891374,27,0.556009299799396,0.371,-2.69541778975741,"congruent"
16,1,383,"congruent","most_con",1,-1.13664854188384,28,-2.61096605744125,28,0.641549192076226,0.313,-3.19488817891374,"congruent"
16,1,357,"incongruent","most_con",1,-1.11499809346701,29,-2.80112044817927,29,0.727089084353056,0.383,-2.61096605744125,"incongruent_most_con"
16,1,426,"congruent","most_con",1,-1.09334764505017,30,-2.34741784037559,30,0.812628976629887,0.357,-2.80112044817927,"congruent"
16,1,567,"incongruent","most_con",1,-1.07169719663334,31,-1.7636684303351,31,0.898168868906717,0.426,-2.34741784037559,"incongruent_most_con"
16,1,357,"congruent","most_con",1,-1.0500467482165,32,-2.80112044817927,32,0.983708761183547,0.567,-1.7636684303351,"congruent"
16,1,363,"congruent","most_con",1,-1.02839629979967,33,-2.75482093663912,33,1.06924865346038,0.357,-2.80112044817927,"congruent"
16,1,481,"incongruent","most_con",1,-1.00674585138283,34,-2.07900207900208,34,1.15478854573721,0.363,-2.75482093663912,"incongruent_most_con"
16,1,575,"incongruent","most_con",1,-0.985095402965998,35,-1.73913043478261,35,1.24032843801404,0.481,-2.07900207900208,"incongruent_most_con"
16,1,349,"congruent","most_con",1,-0.963444954549162,36,-2.86532951289398,36,1.32586833029087,0.575,-1.73913043478261,"congruent"
16,1,409,"congruent","most_con",1,-0.941794506132327,37,-2.44498777506112,37,1.4114082225677,0.349,-2.86532951289398,"congruent"
16,1,415,"congruent","most_con",1,-0.920144057715492,38,-2.40963855421687,38,1.49694811484453,0.409,-2.44498777506112,"congruent"
16,1,405,"incongruent","most_con",1,-0.898493609298657,39,-2.46913580246914,39,1.58248800712136,0.415,-2.40963855421687,"incongruent_most_con"
16,1,395,"congruent","most_con",1,-0.876843160881822,40,-2.53164556962025,40,1.66802789939819,0.405,-2.46913580246914,"congruent"
16,1,337,"congruent","most_incon",2,-0.855192712464987,41,-2.9673590504451,1,-1.66802789939819,NA,NA,"congruent"
16,1,390,"incongruent","most_incon",2,-0.833542264048152,42,-2.56410256410256,2,-1.58248800712136,0.337,-2.9673590504451,"incongruent_most_incon"
16,0,252,"incongruent","most_incon",2,-0.811891815631317,43,-3.96825396825397,3,-1.49694811484453,0.39,-2.56410256410256,"incongruent_most_incon"
16,1,426,"incongruent","most_incon",2,-0.790241367214482,44,-2.34741784037559,4,-1.4114082225677,0.252,-3.96825396825397,"incongruent_most_incon"
16,1,431,"incongruent","most_incon",2,-0.768590918797647,45,-2.32018561484919,5,-1.32586833029087,0.426,-2.34741784037559,"incongruent_most_incon"
16,1,429,"congruent","most_incon",2,-0.746940470380811,46,-2.33100233100233,6,-1.24032843801404,0.431,-2.32018561484919,"congruent"
16,1,307,"congruent","most_incon",2,-0.725290021963976,47,-3.25732899022801,7,-1.15478854573721,0.429,-2.33100233100233,"congruent"
16,1,376,"incongruent","most_incon",2,-0.703639573547141,48,-2.65957446808511,8,-1.06924865346038,0.307,-3.25732899022801,"incongruent_most_incon"
16,1,366,"incongruent","most_incon",2,-0.681989125130306,49,-2.73224043715847,9,-0.983708761183547,0.376,-2.65957446808511,"incongruent_most_incon"
