subj_idx,response,rt,cond,stim,trial_z,rt_log_trim_grp,prev_rt,prev_rt_z,prev_error,id,since_nogo,since_nogo_z,block_trial_z,DISINH,ANTAG
1,1,346,FiveGo,Go,0.22372101,2.539076099,2.45331834,-1.714472819,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,0,0,FiveGo,Go,0.238154623,0,2.539076099,-0.688015808,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,397,FiveGo,Go,0.252588237,2.598790507,NA,NA,1,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,395,FiveGo,Go,0.26702185,2.596597096,2.598790507,0.026721536,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,0.281455464,0,2.596597096,0.000468025,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,420,OneGo,Go,0.295889077,2.62324929,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,0,393,OneGo,NoGo,0.310322691,2.59439255,2.62324929,0.319475105,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,485,FiveGo,Go,0.324756305,2.685741739,2.59439255,-0.025918752,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,443,FiveGo,Go,0.339189918,2.646403726,2.685741739,1.067463539,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,417,FiveGo,Go,0.353623532,2.620136055,2.646403726,0.596616595,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,358,FiveGo,Go,0.368057145,2.553883027,2.620136055,0.282211977,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,348,FiveGo,Go,0.382490759,2.541579244,2.553883027,-0.510787822,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,0.396924372,0,2.541579244,-0.65805501,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,293,SevenGo,Go,0.411357986,2.46686762,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,386,SevenGo,Go,0.425791599,2.586587305,2.46686762,-1.552297945,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,368,SevenGo,Go,0.440225213,2.565847819,2.586587305,-0.119341777,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,374,SevenGo,Go,0.454658826,2.572871602,2.565847819,-0.367578101,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,284,SevenGo,Go,0.46909244,2.45331834,2.572871602,-0.283508602,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,377,SevenGo,Go,0.483526053,2.57634135,2.45331834,-1.714472819,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,423,SevenGo,Go,0.497959667,2.626340367,2.57634135,-0.241978282,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,0.51239328,0,2.626340367,0.356473013,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,345,ThreeGo,Go,0.526826894,2.537819095,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,318,ThreeGo,Go,0.541260508,2.50242712,2.537819095,-0.703061214,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,372,ThreeGo,Go,0.555694121,2.57054294,2.50242712,-1.126677007,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,0,ThreeGo,NoGo,0.570127735,0,2.57054294,-0.311380969,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,473,ThreeGo,Go,0.584561348,2.674861141,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,366,ThreeGo,Go,0.598994962,2.563481085,2.674861141,0.937230821,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,380,ThreeGo,Go,0.613428575,2.579783597,2.563481085,-0.39590615,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,0,298,ThreeGo,NoGo,0.627862189,2.474216264,2.579783597,-0.200777135,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,317,OneGo,Go,0.642295802,2.501059262,2.474216264,-1.464340109,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,0,OneGo,NoGo,0.656729416,0,2.501059262,-1.143049254,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,318,SevenGo,Go,0.671163029,2.50242712,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,540,SevenGo,Go,0.685596643,2.73239376,2.50242712,-1.126677007,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,474,SevenGo,Go,0.700030256,2.675778342,2.73239376,1.625853764,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,359,SevenGo,Go,0.71446387,2.555094449,2.675778342,0.948209039,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,397,SevenGo,Go,0.728897483,2.598790507,2.555094449,-0.496287996,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,555,SevenGo,Go,0.743331097,2.744292983,2.598790507,0.026721536,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,441,SevenGo,Go,0.757764711,2.644438589,2.744292983,1.768278676,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,0.772198324,0,2.644438589,0.57309536,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,466,FiveGo,Go,0.786631938,2.668385917,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,472,FiveGo,Go,0.801065551,2.673941999,2.668385917,0.859727173,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,470,FiveGo,Go,0.815499165,2.672097858,2.673941999,0.926229369,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,332,FiveGo,Go,0.829932778,2.521138084,2.672097858,0.904156368,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,393,FiveGo,Go,0.844366392,2.59439255,2.521138084,-0.902720595,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,0.858800005,0,2.59439255,-0.025918752,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,538,SevenGo,Go,0.873233619,2.730782276,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,327,SevenGo,Go,0.887667232,2.514547753,2.730782276,1.60656549,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,333,SevenGo,Go,0.902100846,2.522444234,2.514547753,-0.981601989,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,387,SevenGo,Go,0.916534459,2.587710965,2.522444234,-0.887086947,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,345,SevenGo,Go,0.930968073,2.537819095,2.587710965,-0.105892393,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,375,SevenGo,Go,0.945401687,2.574031268,2.537819095,-0.703061214,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,428,SevenGo,Go,0.9598353,2.631443769,2.574031268,-0.269628262,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,0.974268914,0,2.631443769,0.41755696,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,302,OneGo,Go,0.988702527,2.480006943,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,0,292,OneGo,NoGo,1.003136141,2.465382851,2.480006943,-1.395029961,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,510,ThreeGo,Go,1.017569754,2.707570176,2.465382851,-1.570069532,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,316,ThreeGo,Go,1.032003368,2.499687083,2.707570176,1.328733808,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
