"subj_idx","response","rt","stim","cond","trial_z","rt_log_trim_grp","prev_rt"
4,1,588,"negative_unfamiliar","no_conflict",0.694108203127987,2.76937732607614,0.72
4,1,523,"positive","no_conflict",0.74221471225567,2.71850168886727,0.588
4,1,618,"positive","no_conflict",0.790321221383352,2.79098847508882,0.523
4,1,553,"negative_highly_familiar","conflict",0.838427730511034,2.7427251313047,0.618
4,1,712,"negative_familiar","conflict",0.886534239638716,2.85247999363686,0.553
4,1,703,"positive","no_conflict",0.934640748766399,2.84695532501982,0.712
4,0,622,"positive","no_conflict",0.982747257894081,2.79379038469082,0.703
4,1,662,"negative_rc","conflict",1.03085376702176,2.8208579894397,0.622
4,1,813,"positive","no_conflict",1.07896027614945,2.91009054559407,0.662
4,1,900,"negative_rc","conflict",1.12706678527713,2.95424250943932,0.813
4,1,563,"positive","no_conflict",1.17517329440481,2.75050839485135,0.9
4,1,618,"negative_highly_familiar","conflict",1.22327980353249,2.79098847508882,0.563
4,0,537,"positive","no_conflict",1.27138631266017,2.72997428569956,0.618
4,1,608,"negative_highly_familiar","conflict",1.31949282178786,2.78390357927274,0.537
4,1,768,"negative_familiar","conflict",1.36759933091554,2.88536122003151,0.608
4,1,679,"positive","no_conflict",1.41570584004322,2.8318697742805,0.768
4,1,694,"negative_unfamiliar","no_conflict",1.4638123491709,2.84135947045485,0.679
4,1,542,"positive","no_conflict",1.51191885829859,2.73399928653839,0.694
4,1,605,"negative_rc","conflict",1.56002536742627,2.78175537465247,0.542
4,1,476,"positive","no_conflict",1.60813187655395,2.67760695272049,0.605
4,1,603,"positive","no_conflict",1.65623838568163,2.78031731214015,0.476
4,1,635,"negative_familiar","conflict",1.70434489480932,2.80277372529198,0.603
4,1,666,"negative_unfamiliar","no_conflict",1.752451403937,2.8234742291703,0.635
4,1,641,"positive","no_conflict",1.80055791306468,2.80685802951882,0.666
5,1,513,"negative_unfamiliar","no_conflict",-1.71121725325613,2.71011736511182,0.641
5,1,520,"positive","no_conflict",-1.66311074412844,2.7160033436348,0.513
5,1,616,"negative_rc","conflict",-1.61500423500076,2.78958071216443,0.52
5,1,663,"positive","no_conflict",-1.56689772587308,2.82151352840477,0.616
5,0,1118,"negative_highly_familiar","conflict",-1.5187912167454,3.0484418035504,0.663
5,1,637,"positive","no_conflict",-1.47068470761772,2.80413943233535,1.118
5,1,564,"negative_familiar","conflict",-1.42257819849003,2.75127910398334,0.637
5,1,691,"positive","no_conflict",-1.37447168936235,2.8394780473742,0.564
5,1,538,"positive","no_conflict",-1.32636518023467,2.73078227566639,0.691
5,1,673,"negative_rc","conflict",-1.27825867110699,2.82801506422398,0.538
5,1,601,"negative_familiar","conflict",-1.2301521619793,2.77887447200274,0.673
5,1,744,"positive","no_conflict",-1.18204565285162,2.87157293554588,0.601
5,1,559,"positive","no_conflict",-1.13393914372394,2.74741180788642,0.744
5,1,638,"negative_rc","conflict",-1.08583263459626,2.80482067872116,0.559
5,1,525,"negative_highly_familiar","conflict",-1.03772612546857,2.72015930340596,0.638
5,1,932,"positive","no_conflict",-0.989619616340893,2.96941591235398,0.525
5,1,667,"positive","no_conflict",-0.94151310721321,2.82412583391655,0.932
5,1,611,"negative_unfamiliar","no_conflict",-0.893406598085528,2.78604121024255,0.667
5,1,547,"positive","no_conflict",-0.845300088957846,2.73798732633343,0.611
5,1,713,"negative_highly_familiar","conflict",-0.797193579830163,2.85308952985187,0.547
5,1,560,"positive","no_conflict",-0.749087070702481,2.7481880270062,0.713
5,1,592,"negative_familiar","conflict",-0.700980561574799,2.77232170672292,0.56
5,1,695,"negative_unfamiliar","no_conflict",-0.652874052447117,2.84198480459011,0.592
5,1,877,"positive","no_conflict",-0.604767543319434,2.94299959336604,0.695
5,1,685,"negative_highly_familiar","conflict",-0.556661034191752,2.83569057149243,0.877
5,1,541,"positive","no_conflict",-0.50855452506407,2.73319726510657,0.685
5,1,628,"negative_familiar","conflict",-0.460448015936387,2.7979596437372,0.541
5,1,691,"positive","no_conflict",-0.412341506808705,2.8394780473742,0.628
5,1,810,"positive","no_conflict",-0.364234997681023,2.90848501887865,0.691
5,1,977,"negative_rc","conflict",-0.316128488553341,2.98989456371877,0.81
5,1,1112,"positive","no_conflict",-0.268021979425658,3.04610478724604,0.977
5,1,599,"negative_highly_familiar","conflict",-0.219915470297976,2.77742682238931,1.112
5,1,614,"positive","no_conflict",-0.171808961170294,2.78816837114117,0.599
5,1,590,"negative_unfamiliar","no_conflict",-0.123702452042611,2.77085201164214,0.614
5,1,669,"positive","no_conflict",-0.0755959429149292,2.82542611776782,0.59
5,1,596,"negative_unfamiliar","no_conflict",-0.0274894337872469,2.77524625974024,0.669
5,1,643,"positive","no_conflict",0.0206170753404354,2.80821097292422,0.596
5,0,714,"negative_rc","conflict",0.0687235844681176,2.85369821177617,0.643
5,1,945,"negative_highly_familiar","conflict",0.1168300935958,2.97543180850926,0.714
5,1,760,"positive","no_conflict",0.164936602723482,2.88081359228079,0.945
5,1,832,"positive","no_conflict",0.213043111851164,2.92012332629072,0.76
5,1,767,"negative_familiar","conflict",0.261149620978847,2.88479536394898,0.832
