"subj_idx","response","rt","cond","stim","stim_cond","trial_z","trial","rt_log_trim_grp","prev_rt","block_trial"
84,1,0,"OneGo","NoGo","NoGo_OneGo",-0.671163029354867,74,0,0.297,8
84,1,0.328,"FiveGo","Go","Go_FiveGo",-0.656729415820354,75,2.51587384371168,0,19
84,1,0.412,"FiveGo","Go","Go_FiveGo",-0.64229580228584,76,2.61489721603313,0.328,20
84,1,0.366,"FiveGo","Go","Go_FiveGo",-0.627862188751327,77,2.56348108539441,0.412,21
84,1,0.338,"FiveGo","Go","Go_FiveGo",-0.613428575216814,78,2.52891670027765,0.366,22
84,1,0.349,"FiveGo","Go","Go_FiveGo",-0.598994961682301,79,2.54282542695918,0.338,23
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.584561348147787,80,0,0.349,24
84,1,0.411,"SevenGo","Go","Go_SevenGo",-0.570127734613274,81,2.61384182187607,0,33
84,1,0.351,"SevenGo","Go","Go_SevenGo",-0.555694121078761,82,2.54530711646582,0.411,34
84,1,0.323,"SevenGo","Go","Go_SevenGo",-0.541260507544248,83,2.5092025223311,0.351,35
84,1,0.35,"SevenGo","Go","Go_SevenGo",-0.526826894009734,84,2.54406804435028,0.323,36
84,1,0.369,"SevenGo","Go","Go_SevenGo",-0.512393280475221,85,2.56702636615906,0.35,37
84,1,0.333,"SevenGo","Go","Go_SevenGo",-0.497959666940708,86,2.52244423350632,0.369,38
84,1,0.352,"SevenGo","Go","Go_SevenGo",-0.483526053406195,87,2.54654266347813,0.333,39
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.469092439871681,88,0,0.352,40
84,1,0.319,"ThreeGo","Go","Go_ThreeGo",-0.454658826337168,89,2.50379068305718,0,17
84,1,0.298,"ThreeGo","Go","Go_ThreeGo",-0.440225212802655,90,2.47421626407626,0.319,18
84,1,0.374,"ThreeGo","Go","Go_ThreeGo",-0.425791599268141,91,2.57287160220048,0.298,19
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.411357985733628,92,0,0.374,20
84,1,0.301,"FiveGo","Go","Go_FiveGo",-0.396924372199115,93,2.47856649559384,0,25
84,1,0.336,"FiveGo","Go","Go_FiveGo",-0.382490758664602,94,2.52633927738984,0.301,26
84,1,0.332,"FiveGo","Go","Go_FiveGo",-0.368057145130088,95,2.52113808370404,0.336,27
84,1,0.287,"FiveGo","Go","Go_FiveGo",-0.353623531595575,96,2.45788189673399,0.332,28
84,1,0.299,"FiveGo","Go","Go_FiveGo",-0.339189918061062,97,2.47567118832443,0.287,29
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.324756304526549,98,0,0.299,30
84,1,0.321,"OneGo","Go","Go_OneGo",-0.310322690992035,99,2.50650503240487,0,9
84,1,0,"OneGo","NoGo","NoGo_OneGo",-0.295889077457522,100,0,0.321,10
84,1,0.289,"OneGo","Go","Go_OneGo",-0.281455463923009,101,2.46089784275655,0,11
84,0,0.244,"OneGo","NoGo","NoGo_OneGo",-0.267021850388496,102,2.38738982633873,0.289,12
84,1,0.383,"ThreeGo","Go","Go_ThreeGo",-0.252588236853982,103,2.58319877396862,0.244,21
84,1,0.387,"ThreeGo","Go","Go_ThreeGo",-0.238154623319469,104,2.58771096501891,0.383,22
84,1,0.478,"ThreeGo","Go","Go_ThreeGo",-0.223721009784956,105,2.67942789661212,0.387,23
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.209287396250442,106,0,0.478,24
84,1,0.373,"FiveGo","Go","Go_FiveGo",-0.194853782715929,107,2.57170883180869,0,31
84,1,0.6,"FiveGo","Go","Go_FiveGo",-0.180420169181416,108,2.77815125038364,0.373,32
84,1,0.356,"FiveGo","Go","Go_FiveGo",-0.165986555646903,109,2.55144999797288,0.6,33
84,1,0.36,"FiveGo","Go","Go_FiveGo",-0.151552942112389,110,2.55630250076729,0.356,34
84,1,0.362,"FiveGo","Go","Go_FiveGo",-0.137119328577876,111,2.55870857053317,0.36,35
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.122685715043363,112,0,0.362,36
84,1,0.353,"SevenGo","Go","Go_SevenGo",-0.10825210150885,113,2.54777470538782,0,41
84,1,0.341,"SevenGo","Go","Go_SevenGo",-0.0938184879743363,114,2.5327543789925,0.353,42
84,1,0.344,"SevenGo","Go","Go_SevenGo",-0.079384874439823,115,2.53655844257153,0.341,43
84,1,0.324,"SevenGo","Go","Go_SevenGo",-0.0649512609053097,116,2.51054501020661,0.344,44
84,1,0.351,"SevenGo","Go","Go_SevenGo",-0.0505176473707964,117,2.54530711646582,0.324,45
84,1,0.379,"SevenGo","Go","Go_SevenGo",-0.0360840338362832,118,2.57863920996807,0.351,46
84,1,0.367,"SevenGo","Go","Go_SevenGo",-0.0216504203017699,119,2.56466606425209,0.379,47
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.00721680676725664,120,0,0.367,48
84,1,0.445,"OneGo","Go","Go_OneGo",0.00721680676725664,121,2.64836001098093,0,13
84,1,0,"OneGo","NoGo","NoGo_OneGo",0.0216504203017699,122,0,0.445,14
84,1,0.348,"ThreeGo","Go","Go_ThreeGo",0.0360840338362832,123,2.54157924394658,0,25
84,1,0.423,"ThreeGo","Go","Go_ThreeGo",0.0505176473707964,124,2.62634036737504,0.348,26
84,1,0.387,"ThreeGo","Go","Go_ThreeGo",0.0649512609053097,125,2.58771096501891,0.423,27
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.079384874439823,126,0,0.387,28
