date	time	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3	stimulusnumber4	stimulusitem4	stimulusvpos4	stimulushpos4	stimulusonset4	stimulusnumber5	stimulusitem5	stimulusvpos5	stimulushpos5	stimulusonset5	stimulusnumber6	stimulusitem6	stimulusvpos6	stimulushpos6	stimulusonset6	
081707	17:11	1	2.0.61004.5	1	40	congruent	congruentright	0	0	0	0	1500	1500	23	1	381	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	1	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	368	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	2	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	381	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	3	incongruent	congruentright	0	0	0	0	1500	1500	23	1	499	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	509	1	rightarrow.jpg	50	41.9921875	509	1	rightarrow.jpg	50	50	509	1	rightarrow.jpg	50	58.0078125	509	1	rightarrow.jpg	50	66.015625	509	
081707	17:11	1	2.0.61004.5	2	4	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	450	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	5	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	336	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	6	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	412	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	7	incongruent	incongruentleft	0	0	0	0	1500	1500	18	1	471	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	8	incongruent	incongruentleft	0	0	0	0	1500	1500	18	1	415	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	9	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	427	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	507	1	leftarrow.jpg	50	66.015625	507	
081707	17:11	1	2.0.61004.5	2	10	incongruent	incongruentleft	0	0	0	0	1500	1500	18	1	392	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	11	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	329	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	12	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	347	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	13	incongruent	congruentright	0	0	0	0	1500	1500	23	1	501	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	14	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	427	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	15	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	679	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	16	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	329	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	17	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	417	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	18	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	378	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	19	incongruent	incongruentright	0	0	0	0	1500	1500	23	1	397	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	20	incongruent	incongruentleft	0	0	0	0	1500	1500	18	1	414	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	21	incongruent	incongruentright	0	0	0	0	1500	1500	18	0	358	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	22	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	408	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	23	incongruent	congruentleft	0	0	0	0	1500	1500	18	1	403	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	2	24	incongruent	congruentright	0	0	0	0	1500	1500	23	1	319	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	522	1	rightarrow.jpg	50	41.9921875	522	1	rightarrow.jpg	50	50	522	1	rightarrow.jpg	50	58.0078125	522	1	rightarrow.jpg	50	66.015625	522	
